,Tweets,Sentiment
0,Insulted Indian Freedom Fighters-  Shame on,0
1,SPECIAL BUT SHORT TIPS FOR SELF IMPROVEMENT :-*GENIOUS *WORK *ATTITUDE,1
2,"entire bollywood industry put together cant equate one dashing fighter  Hats Off """,1
3,Insulted Indian Freedom Fighters-  Shame on,0
4,SPECIAL BUT SHORT TIPS FOR SELF IMPROVEMENT :-*GENIOUS *WORK *ATTITUDE,1
5,"entire bollywood industry put together cant equate one dashing fighter  Hats Off """,1
6,Stop spreading hate TIMESNOW people shame on you and your dalal journalism,0
7,Shame on you,0
8,Slams out  never work  speak comment secret again why? His feel congress with Gandhi family again ?,0
9,"says in the beginning of the interview that she is a huge fan of s work! Now everything makes sense! When two red flags come together, its a red flag carnival",1
10,Irony is The lady who thinks Aazadi was received in bheekh has got national award for Manikarnika: Queen of jhansi..,1
11,"I thought india allowed people freedom to eess their views, or is that right limited to leftist liberals, arundhati Roy, JNU tukde gang, rana ayub etc, when they can spew venom &amp; get away why a storm if kangana has eessed her views,",1
12,"What it means kangana about""Azadi beekh ma mili ha"" Are you mad you dont no What was the contribution of bose,Bhagat singh, Rajguru And many people who contributed their blood to see india free They known as nationalist You are not a nationalist",1
13,"Should acquire good points from GODI MEDIA. YOU DONT DESERVE to play the role of ( Manikarnika), if you dont know the ""HISTORY OF INDIA"". ( Beauty without Brain)",1
14,Rare photo of freedom fighter Kangana runout during indian freedom movement in 2014...,1
15,"What it means kangana about""Azadi beekh ma mili ha"" Are you mad you dont no What was the contribution of bose,Bhagat singh, Rajguru And many people who contributed their blood to see india free They known as nationalist You are not a nationalist",1
16,"Instead of  and seeing their children become  and   , now the society will encourage their children to become  like  . Where we are heading now as a society.",1
17,"Independence from British was one largely due to efforts of Mahatma Gandhi and Congress. I cant figure out why Congress should not file the treason case - in multiple states, instead of AAP.",0
18,"Political parties influence people of india about  statement, watch full interview, in how sence she was talking",1
19,A group of freedom fighters on their way to apply for pension,1
20,So when should we celebrate independence day?,1
21,&amp;  Your justification to this incident is as useless as Instead of stopping her you continued conversation. Nation is seeing how  was involved in insulting great leaders of country with,0
22,"She said those who fought for freedom like bose, bhagat, chandrasekhar were not given the power. The power was given as alms to British creation called congress. Hindus became free in 2014 in the true sense of word.SO BRAVO KANGANA! We support you",1
23,Looks like a damage control ecise as host of the event can be seen praising her over condemnable remarks and those sitting in the audience were clapping shamelessly. Shameful and disgusting!,0
24,Best actress,1
25,Insult to freedom fighters Kangana ranaut says freedom in 1947 was bheek . India Attained freedom in 2014,1
26,"Few earlier statements r apprecitive but the present one on freedom after 2014 is stretching things 2 far. May be u r illiteracy attributed such ignorance. None of the present day so called ldrs r anyway near the Grt Bhagat , Azad , Netaji ,Asfaqullah &amp; mn others",0
27,Boycott her .....she is totally mad....,0
28,"Lets face it. Whether it is Kangana Ranaut or Pragya Thakur, they speak the real  of Modi, while Modi keeps up the pretence of respecting Mahatma Gandhi and freedom fighters",1
29,"Statements Was Twisted by the Corrupt Indian Media.please watch the full Interview,",1
30,Love you...,1
31,"= foolishness and  = a cheap prostitute owned by foolishness ... Both of them are an insult to our nation, its freedom and its freedom fighters""",1
32,The core issue has been addressed by Justice  long time ago when he declared 90% of Indians are idiots,1
33,"Read to the endAre you looking for reliable broker to trade currency. Here is the best Forex broker. Click this linkSTEPS1. Click the link, supply your email. Confirm email in your inbox.",1
34,"Let me complete the sentence ""she is high on manala cream, I know because my own son-in-low is provider""",0
35,Was sardar patel a freedom fighter ???,1
36,The guests should have walked out after hearing this. The anchor could have stopped the interview. But everyone continued the circus.,0
37,And she did a role for such freedom fighter who got freedom in according to her in bheekh What a fall,1
